area,bedroom,price,floor,road-width,parking
 89 m,3 phòng ngủ," 3,4 tỷ ",27 lầu,,chỗ để xe
 55 m,2 phòng ngủ," 2,15 tỷ ",1 lầu,,
 80 m,2 phòng ngủ," 2,96 tỷ ",,,
 65 m,2 phòng ngủ," 1,55 tỷ ",23 lầu,,chỗ để xe
 75 m,3 phòng ngủ," 3,15 tỷ ",30 lầu,50m,chỗ để xe
 114 m,3 phòng ngủ," 4,6 tỷ ",,,
 96 m,3 phòng ngủ," 2,9 tỷ ",21 lầu,,
 60 m,2 phòng ngủ," 2,1 tỷ ",,,
 99 m,3 phòng ngủ, 4 tỷ ,7 lầu,45m,chỗ để xe
 93 m,3 phòng ngủ," 2,78 tỷ ",1 lầu,5m,chỗ để xe
 83 m,4 phòng ngủ, 30 triệu / m,,,
 106 m,3 phòng ngủ, 40 triệu / m,1 lầu,,chỗ để xe
 68 m,2 phòng ngủ," 2,38 tỷ ",,,
 60 m,2 phòng ngủ," 1,87 tỷ ",4 lầu,20m,
 54 m,2 phòng ngủ," 2,2 tỷ ",10 lầu,,
 90 m,3 phòng ngủ, 2 tỷ ,17 lầu,5m,chỗ để xe
 86 m,3 phòng ngủ," 4,05 tỷ ",14 lầu,,chỗ để xe
 130 m,4 phòng ngủ, 3 tỷ ,21 lầu,4m,chỗ để xe
 70 m,2 phòng ngủ, 2 tỷ ,1 lầu,2m,chỗ để xe
 81 m,3 phòng ngủ," 3,3 tỷ ",10 lầu,,
 128 m,3 phòng ngủ," 4,3 tỷ ",10 lầu,,
 83 m,3 phòng ngủ," 2,75 tỷ ",12 lầu,,
 80 m,3 phòng ngủ," 2,85 tỷ ",12 lầu,,
 86 m,2 phòng ngủ, 3 tỷ ,1 lầu,15m,chỗ để xe
 81 m,3 phòng ngủ, 3 tỷ ,1 lầu,20m,chỗ để xe
 131 m,3 phòng ngủ," 4,6 tỷ ",15 lầu,,
 125 m,3 phòng ngủ," 3,3 tỷ ",15 lầu,8m,chỗ để xe
 93 m,2 phòng ngủ," 3,3 tỷ ",16 lầu,,chỗ để xe
 85 m,2 phòng ngủ, 30 triệu / m,19 lầu,,chỗ để xe
 71 m,2 phòng ngủ," 1,8 tỷ ",25 lầu,,
